species,group,nesting,foraging,Min Clutch size,Migration,habitat,drum length,drum speed,mass_g,body_length_mm,brain_mass_g,brain_volume_mL,PC1a2,v2,v5,v6,v7,v9,v10
Colaptes_auratus,picidae,Non Exc,I,3,yes,open,25.2,23.52,109,277,2.32,2,-0.13543644,15.84168325,0.68863082,4.818660129,9.004029742,64.96307228,0.819513634
Capito_aurovirens,non picidae,Exc,F,,no,closed,,,63,181,1.29,1,-0.031820401,17.84647371,0.689205899,4.659827068,9.174045822,68.90426542,0.813523078
Pteroglossus_azara,non picidae,Non Exc,F,,no,closed,,,125,,2.37,2.2,0.004019647,16.5670489,0.681591073,4.227314572,9.125952853,68.78700719,0.822719609
Melanerpes_cactorum,picidae,Exc,E,,no,open,24.3,21.98,34.3,201,1.21,0.8,-0.229968081,15.76210819,0.688623135,5.410271461,8.945357167,63.22156152,0.818992407
Melanerpes_carolinus,picidae,Exc,G,2,No,closed,17.4,17.88,69.5,206,1.6,1.4,0.009880916,19.97935845,0.691918304,5.078689197,9.558693966,74.32589397,0.814846794
Galbula_cyanescens,non picidae,Non Exc,I,,no,closed,,,25.3,216,0.55,0.45,-0.012803269,17.79634071,0.669658998,4.293268991,9.070226143,65.6000595,0.826209016
Aulacorhynchus_derbianus,non picidae,Non Exc,G,2,no,closed,,,170,,2.69,2.1,-0.040255764,18.89543318,0.683806502,5.011295376,9.318577729,70.43415725,0.818108774
Celeus_elegans,picidae,Exc,G,3,no,closed,20.3,22.04,130,275,1.93,2,0.277123232,20.04472472,0.684831116,4.423572161,10.35033221,94.85910357,0.823375348
Melanerpes_erythrocephalus,picidae,Exc,G,4,yes,closed,17.8,21.25,72,,1.5,1.4,-0.226086256,15.60874269,0.673416788,4.773529069,8.585654772,57.22392127,0.828536795
Picumnus_lafresnayi,picidae,Non Exc,I,2,no,closed,,,9,85.5,0.36,0.4,-0.108951954,18.73207324,0.694643994,5.114723997,9.039402279,65.78364673,0.81311151
Dryocopus_lineatus,picidae,Exc,G,2,no,open,27.1,19.04,178,,4.66,4.5,0.251946197,19.15218913,0.67711563,4.264389684,9.844387717,91.60883059,0.827477208
Bucco_macrodactylus,non picidae,Non Exc,I,,no,closed,,,28.2,166,0.686,0.6,-0.104341876,16.53403559,0.69071165,4.518885345,8.900889371,62.91879302,0.811125845
Campephilus_melanoleucos,picidae,Exc,E,2,no,closed,6.9,15.16,174,,5.14,4.5,-0.084536354,17.82779884,0.682348129,4.98490189,9.022983059,68.19799262,0.820480059
Veniliornis_nigriceps,picidae,,I,,no,closed,23.4,25.79,38,171,1.58,1.2,-0.011660514,18.36137906,0.692759396,5.052152902,9.353662671,75.27743631,0.818434086
Veniliornis_passerinus,picidae,Exc,I,,no,open,27.2,26.96,28,160,1.51,1.8,-0.231970476,16.3680523,0.695795974,5.056203083,8.418692893,59.19409454,0.814801115
Picoides_pubescens,picidae,Exc,E,3,no,open,16.5,15.99,25.6,149,1.06,0.98,-0.048083071,18.84859514,0.679205121,5.072224416,9.275074996,70.5521271,0.822487926
Colaptes_rivolii,picidae,Exc,G,,no,closed,28,20.94,71,232,3.02,2.9,-0.176617434,16.47362516,0.695398489,5.117878818,8.869588621,63.80694844,0.815268494
Sphyrapicus_ruber,picidae,Exc,E,4,yes,closed,,,36.6,212,1.35,2,0.380146176,22.63059816,0.693094366,4.165229054,10.03119831,99.71167881,0.812229006
Campephilus_rubricollis,picidae,Exc,E,2,no,closed,,,234,290,4.66,4,-0.05815905,18.90075194,0.688604642,5.180637012,9.249738836,71.01133935,0.81741321
Galbula_ruficauda,non picidae,Non Exc,I,,no,open,,,26.5,155,0.552,0.4,1.081311742,23.20301259,0.613457124,1.963729017,11.50542582,129.9351519,0.870276918
Picumnus_rufiventris,picidae,,E,,no,closed,,,21,,0.55,0.6,-0.248844939,16.15932779,0.688679694,5.292058959,8.543969289,60.30809424,0.818580916
Ramphastos_sulfuratus,non picidae,Non Exc,G,1,no,closed,,,390,,4.43,3,-0.036801876,19.19363627,0.68484649,5.000506024,9.350282619,70.02434349,0.817512452
Chelidoptera_tenebrosa,non picidae,Non Exc,I,,no,open,,,35.9,153,,0.8,-0.043696884,18.24691795,0.692424033,5.018110042,9.31224322,71.55572896,0.814495103
Sphyrapicus_varius,picidae,Exc,E,2,yes,closed,,,38.3,,,,-0.223084955,14.28457591,0.684071954,4.691823889,8.715932917,58.97051724,0.823569572
Picoides_villosus,picidae,Exc,E,3,no,closed,22.4,22.52,62.7,,,,0.052968743,21.48589995,0.687632371,4.804131679,9.517888094,72.5219477,0.814227134
